,player_id,team_id,match_id,number,position,minutes_played,points,tries,conversions,conversion_attempts,penalty_goals,conversion_percentage,field_goals,fantasy_points,total_runs,total_run_metres,kick_return_metres,post_contact_metres,line_breaks,line_break_assists,try_assists,line_engaged_runs,tackle_breaks,hit_ups,play_the_ball,average_play_the_ball_seconds,dummy_half_runs,dummy_half_run_metres,steals,offloads,dummy_passes,passes,receipts,pass_to_run_ratio,tackle_percentage,tackles_made,tackles_missed,ineffective_tackles,intercepts,kicks_defused,kicks,kicking_metres,forced_drop_outs,bomb_kicks,grubbers,fourty_twenty,cross_field_kicks,kicked_dead,errors,handling_errors,one_on_ones_lost,penalties,on_report,sin_bins,send_offs,stint_one,stint_two,position_id
Andrew_Mccullough_Broncos,3,1,134,9,Hooker,70.0,4,1,0,0,0,,0,58,6,54,0,16,1,0,0,0,4,0,2,3.3,6,54,0,0,3,96,95,16,0.923,36,1,2,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,1,0,70.0,,7
Sam_Thaiday_Broncos,499,1,134,10,Prop,40.0,0,0,0,0,0,,0,28,9,64,0,23,0,0,0,0,1,7,5,2.89,0,0,0,1,0,3,10,0.33,0.905,19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.47,19.58,6
Alex_Glenn_Broncos,2,1,134,11,2nd Row,80.0,0,0,0,0,0,,0,38,8,93,0,37,0,0,0,0,2,8,6,3.15,0,0,0,0,0,9,16,1.13,0.854,35,5,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,80.0,,8
David_Fifita_Broncos,4,1,134,20,2nd Row,45.0,0,0,0,0,0,,0,25,8,56,0,27,0,0,0,0,0,8,8,3.9,0,0,0,0,0,0,8,0,0.846,22,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.23,35.56,8
Josh_Mcguire_Broncos,501,1,134,13,Lock,49.0,0,0,0,0,0,,0,28,11,80,3,39,0,0,0,0,1,8,10,3.94,1,14,0,0,1,9,19,0.82,0.844,27,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.14,,9
Kotoni_Staggs_Broncos,28,1,134,14,Interchange,72.0,0,0,0,0,0,,0,34,9,120,0,31,0,0,0,0,2,9,7,3.49,0,0,0,0,0,1,11,0.11,0.815,22,1,4,0,0,1,4,0,0,1,0,0,0,1,1,0,1,0,0,0,71.36,,10
Joe_Ofahengaue_Broncos,9,1,134,15,Interchange,47.0,0,0,0,0,0,,0,47,16,125,13,49,0,0,0,0,6,15,15,3.56,0,0,0,1,4,2,19,0.13,0.833,25,3,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,40.15,7.07,10
Korbin_Sims_Broncos,502,1,134,16,Interchange,39.0,0,0,0,0,0,,0,32,7,59,0,23,0,0,0,0,0,7,6,3.74,0,0,0,0,0,1,8,0.14,0.906,29,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.29,,10
Patrick_Mago_Broncos,13,1,134,19,Interchange,24.0,0,0,0,0,0,,0,13,6,47,0,22,0,0,0,0,3,6,7,2.87,0,0,0,0,0,0,7,0,0.714,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,23.37,,10
Roger_Tuivasa-sheck_Warriors,531,9,134,1,Fullback,80.0,0,0,0,0,0,,0,63,20,210,43,75,0,1,1,0,10,0,18,3.66,1,7,0,0,2,13,34,0.65,0.75,3,1,0,0,3,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,80.0,,1
David_Fusitu'a_Warriors,238,9,134,2,Winger,80.0,0,0,0,0,0,,0,24,13,115,38,36,0,0,0,0,2,1,10,3.18,0,0,0,2,0,5,17,0.38,,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,,2
Peta_Hiku_Warriors,532,9,134,3,Centre,77.0,0,0,0,0,0,,0,21,17,180,21,81,0,0,0,0,1,0,15,3.17,2,27,0,0,2,5,22,0.29,0.857,6,0,1,0,3,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,77.0,,3
Solomone_Kata_Warriors,533,9,134,4,Centre,80.0,8,2,0,0,0,,0,63,15,203,0,56,1,0,0,0,7,0,10,2.77,1,3,0,0,3,4,16,0.27,0.769,10,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,80.0,,3
Gerard_Beale_Warriors,239,9,134,5,Winger,80.0,4,1,0,0,0,,0,33,9,74,0,26,1,0,0,0,3,2,7,3.63,0,0,0,0,1,6,14,0.67,0.813,13,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,80.0,,2
Blake_Green_Warriors,236,9,134,6,Five-Eighth,80.0,0,0,0,0,0,,0,34,9,62,0,12,0,1,1,0,0,0,3,3.09,1,11,0,0,9,46,60,5.11,0.76,19,5,1,0,0,11,325,0,1,2,0,0,0,1,1,0,1,0,0,0,80.0,,4
Shaun_Johnson_Warriors,534,9,134,7,Halfback,80.0,6,0,3,5,0,0.6,0,34,8,59,0,13,0,2,1,0,2,0,2,3.06,0,0,0,0,5,40,51,5,0.75,15,5,0,0,0,6,156,0,2,0,0,0,0,1,0,0,1,0,0,0,80.0,,5
James_Gavet_Warriors,535,9,134,8,Prop,50.0,0,0,0,0,0,,0,20,11,92,16,38,0,0,0,0,0,10,9,3.66,0,0,0,0,0,1,13,0.09,0.821,23,4,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,25.05,23.31,6
Issac_Luke_Warriors,225,9,134,9,Hooker,64.0,4,1,0,0,0,,0,72,5,79,0,2,2,0,0,0,6,1,0,,4,45,0,2,2,83,84,16.6,0.969,31,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,63.55,,7
Agnatius_Paasi_Warriors,221,9,134,10,Prop,45.0,4,1,0,0,0,,0,65,13,160,35,49,3,0,0,0,5,10,9,4.36,0,0,0,2,3,1,14,0.08,0.8,24,5,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,21.24,22.23,6
Isaiah_Papali'i_Warriors,224,9,134,11,2nd Row,80.0,0,0,0,0,0,,0,61,14,118,0,51,0,0,1,0,0,14,9,2.75,0,0,0,4,1,5,19,0.36,0.977,43,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,80.0,,8
Simon_Mannering_Warriors,590,9,134,12,2nd Row,70.0,0,0,0,0,0,,0,51,15,148,0,66,0,0,0,0,0,15,12,3.31,0,0,0,3,7,4,19,0.27,0.932,41,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,56.29,13.16,8
Adam_Blair_Warriors,220,9,134,13,Lock,67.0,0,0,0,0,0,,0,33,10,73,0,25,0,0,0,0,0,9,7,3.45,0,0,0,1,0,3,14,0.3,0.895,34,2,2,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,66.44,,9
Jazz_Tevaga_Warriors,227,9,134,14,Interchange,55.0,0,0,0,0,0,,0,60,10,98,0,32,0,0,0,0,4,10,8,3.38,0,0,0,1,2,8,17,0.8,0.927,38,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.36,,10
Tevita_Satae_Warriors,584,9,134,15,Interchange,19.0,0,0,0,0,0,,0,14,6,58,14,23,0,0,0,0,1,5,5,2.74,0,0,0,0,0,0,7,0,0.944,17,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,23.34,4.21,10
Joseph_Vuna_Warriors,607,9,134,16,Interchange,16.0,0,0,0,0,0,,0,6,1,15,0,8,0,0,0,0,0,1,1,3.84,0,0,0,0,0,1,3,1,0.778,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.05,,10
Anthony_Gelling_Warriors,585,9,134,17,Interchange,9.0,0,0,0,0,0,,0,11,3,21,0,9,0,0,0,0,1,3,1,2.2,0,0,0,2,1,0,3,0,0.75,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.57,,10
Matthew_Dufty_Dragons,385,14,135,1,Fullback,80.0,4,1,0,0,0,,0,46,16,128,53,28,1,0,0,0,7,1,12,3.58,1,4,0,1,3,8,23,0.5,0.667,6,3,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,80.0,,1
Nene_Macdonald_Dragons,481,14,135,2,Winger,27.0,0,0,0,0,0,,0,14,8,71,0,26,0,0,0,0,0,0,3,2.85,2,23,0,4,0,1,9,0.13,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,26.48,,2
Euan_Aitken_Dragons,378,14,135,3,Centre,80.0,0,0,0,0,0,,0,30,14,147,10,48,0,0,0,0,4,0,13,2.99,1,12,0,0,1,2,16,0.14,0.778,7,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,,3
Timoteo_Lafai_Dragons,388,14,135,4,Centre,80.0,0,0,0,0,0,,0,36,13,110,0,32,0,0,0,0,4,3,12,3.34,0,0,0,1,0,4,16,0.31,0.833,15,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,,3
Jason_Nightingale_Dragons,482,14,135,5,Winger,80.0,0,0,0,0,0,,0,29,18,143,11,63,0,0,0,0,4,0,16,3.15,1,16,0,0,2,5,24,0.28,0.714,5,2,0,0,2,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,80.0,,2
Gareth_Widdop_Dragons,379,14,135,6,Five-Eighth,80.0,8,1,2,3,0,0.667,0,48,11,87,0,2,0,0,0,0,4,0,2,3.74,1,9,0,1,2,32,44,2.91,0.7,14,3,3,1,1,5,126,0,2,1,1,0,0,4,3,0,1,0,0,0,80.0,,4
Ben_Hunt_Dragons,376,14,135,7,Halfback,80.0,4,1,0,0,0,,0,56,14,61,5,8,1,0,1,0,7,0,5,3.74,1,3,0,0,6,33,50,2.36,0.591,13,8,1,0,2,10,308,0,4,0,0,0,0,1,1,0,0,0,0,0,80.0,,5
James_Graham_Dragons,396,14,135,8,Prop,55.0,0,0,0,0,0,,0,39,7,56,0,20,0,0,0,0,0,6,6,3.25,0,0,0,0,3,6,12,0.86,0.909,40,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,30.17,24.44,6
Cameron_Mcinnes_Dragons,391,14,135,9,Hooker,80.0,0,0,0,0,0,,0,83,11,90,0,13,0,0,0,0,1,1,3,3.6,8,65,0,3,1,100,105,9.09,0.985,67,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,80.0,,7
Paul_Vaughan_Dragons,404,14,135,10,Prop,55.0,0,0,0,0,0,,0,76,16,169,6,66,1,0,0,0,7,15,12,3.46,0,0,0,1,0,2,17,0.13,0.972,35,0,1,0,0,1,13,0,0,0,0,0,0,0,0,0,1,0,0,0,23.06,21.26,6
Tyson_Frizell_Dragons,407,14,135,11,2nd Row,80.0,0,0,0,0,0,,0,54,13,104,0,60,0,0,0,0,3,12,9,2.94,1,3,0,3,1,2,15,0.15,0.972,35,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,80.0,,8
Tariq_Sims_Dragons,406,14,135,12,2nd Row,69.0,0,0,0,0,0,,0,37,11,82,0,40,0,0,0,0,0,11,10,3.44,0,0,0,0,0,0,12,0,0.833,35,2,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,68.43,,8
Jack_De Belin_Dragons,483,14,135,13,Lock,59.0,0,0,0,0,0,,0,39,12,90,0,35,0,0,0,0,2,11,7,2.83,0,0,0,1,0,4,14,0.33,0.938,30,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,33.44,24.5,9
Jeremy_Latimore_Dragons,397,14,135,14,Interchange,33.0,0,0,0,0,0,,0,28,7,64,11,27,0,0,0,0,0,6,6,2.87,0,0,0,1,0,1,8,0.14,0.867,26,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.43,,10
Kurt_Mann_Dragons,484,14,135,15,Interchange,53.0,0,0,0,0,0,,0,15,9,83,56,24,0,0,0,0,2,2,8,2.84,1,9,0,1,1,2,13,0.22,0.5,1,0,1,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,53.12,,10
Leeson_Ah Mau_Dragons,485,14,135,16,Interchange,32.0,0,0,0,0,0,,0,33,8,74,0,28,0,0,0,0,1,8,6,3.05,0,0,0,2,0,1,9,0.13,0.955,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.1,,10
Luciano_Leilua_Dragons,402,14,135,17,Interchange,17.0,0,0,0,0,0,,0,28,2,38,0,8,1,1,1,0,2,2,1,2.04,0,0,0,1,2,2,5,1,1.0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,17.0,,10
Moses_Mbye_Tigers,466,16,135,1,Fullback,80.0,0,0,0,0,0,,0,30,17,149,24,44,1,0,0,0,3,0,17,3.97,4,32,0,0,4,22,39,1.29,0.611,11,5,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.0,,1
